remove_correlation,augment,remove_outliers,split_method,train_model,MSE,R2,error
False,True,True,kfold,linear,885124538286.2018,0.6591434290920251,
False,False,True,kfold,linear,898365010514.4047,0.6425651191223247,
True,False,True,kfold,linear,1004757981641.1699,0.6139782257963777,
True,True,True,kfold,linear,1018669352755.8822,0.6167488976361772,
False,True,True,holdout,linear,1060730203680.9406,0.681978388045274,
False,False,True,holdout,linear,1075591564373.5575,0.6721713717665636,
False,True,False,kfold,linear,1184431222652.6672,0.6362078216171851,
True,True,True,holdout,linear,1189814111153.3948,0.6288051293846633,
False,False,False,kfold,linear,1196890161786.7837,0.6324476415125714,
False,True,True,kfold,tree,1206698018929.2554,0.5324727575618653,
True,True,False,kfold,linear,1210187276805.5974,0.6313977111501512,
True,False,False,kfold,linear,1220247733756.334,0.6280431875682482,
True,False,True,holdout,linear,1254668034387.4204,0.6569970311891008,
False,False,True,kfold,tree,1307472317500.2664,0.48213014933202575,
False,True,True,holdout,tree,1361112999802.3792,0.5919194638301379,
True,False,True,kfold,tree,1468544162439.5574,0.431178761338025,
True,True,True,kfold,tree,1571667854061.3481,0.4054685068151449,
False,False,True,holdout,tree,1576953996470.3608,0.519361547102495,
False,True,False,holdout,linear,1732396962787.666,0.6572612747769553,
False,False,False,holdout,linear,1754318687330.6643,0.6529242642153184,
True,True,False,holdout,linear,1799482241793.51,0.643989072445974,
True,False,False,holdout,linear,1816506314271.8286,0.6406210170726059,
True,True,True,holdout,tree,1827657991946.8975,0.42981238372424135,
True,False,True,holdout,tree,1951323825198.3657,0.46654425966844393,
True,True,False,kfold,tree,1954834704334.8152,0.40362363465758866,
True,False,False,kfold,tree,1955205035974.4602,0.3905715304499803,
False,True,False,kfold,tree,1967417056036.5698,0.3966301472002644,
False,False,False,kfold,tree,1967866127785.9448,0.36805354498106074,
False,True,True,holdout,nn,2150780463490.1426,0.35516621702080975,
False,True,True,kfold,nn,2233555742412.1816,0.14084039593318312,
True,True,True,holdout,nn,2461787702819.709,0.23197837438256907,
False,False,True,kfold,nn,2602888162504.8228,-0.053320076289880045,
True,True,False,holdout,tree,2647383230044.036,0.47623969971519076,
False,False,False,holdout,tree,2684983685271.32,0.4688007972181163,
True,False,True,kfold,nn,2690900359476.591,-0.052690895402065216,
True,False,False,holdout,tree,2713206449032.788,0.4632171842924093,
False,True,False,holdout,tree,2772806232544.6733,0.45142591805077215,
True,True,True,kfold,nn,2820346560654.7227,-0.09385448750860428,
True,False,True,holdout,nn,2968418476453.728,0.1884894472553691,
False,False,True,holdout,nn,3021471918380.8994,0.07908817151651981,
False,True,False,kfold,nn,3069900518597.1943,0.014365629510448352,
True,True,False,kfold,nn,3089470426462.1416,0.007653616360433424,
True,False,False,kfold,nn,3409686739530.126,-0.0994102998470529,
False,False,False,kfold,nn,3411712599984.6963,-0.10026400543388884,
True,True,False,holdout,nn,3582842023517.772,0.2911678245844719,
False,True,False,holdout,nn,3656501594000.8413,0.2765949594559046,
False,False,False,holdout,nn,4085294305527.249,0.19176228513799964,
True,False,False,holdout,nn,4114304570820.4463,0.1860228723137165,
